FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1006043,9976256,D,2/11/1981 2:30,,,
1006044,10129998,D,2/10/1981 3:25,,,
1006045,10100077,D,3/30/1981 16:45,,,
1006046,9976256,D,4/1/1981 2:15,,,
1006047,10058325,D,4/22/1981 17:54,,,
1006048,10058326,D,4/22/1981 18:00,,,
1006049,10108962,D,4/19/1981 20:45,,,
1006050,10105532,D,4/30/1981 20:15,,,
1006051,10100077,D,4/4/1981 0:04,,,
1006052,10059461,D,6/21/1981 1:10,,,
1006053,10053798,D,6/14/1981 15:00,,,
1006054,10100077,D,6/13/1981 13:23,,,
1006055,10023778,D,6/19/1981 18:30,,,
1006056,10003399,D,6/21/1981 19:56,,,
